Observation date: 10th Nov 2017,,Calibration files: 10thNov/Cals/,,,Gain Flag,Description,,,Flag,Flag definition
Folder,Filename,Filter,x pixel,y pixel,,,,,1,Science image from 10th Nov
,THROUGHPUT_HORIZ_R_FEIGE92__guide_45.fits,r',393,903,3,,,,,
,THROUGHPUT_HORIZ_R_FEIGE92__guide_46.fits,r',387,1192,3,,,,,
,THROUGHPUT_HORIZ_R_FEIGE92__guide_47.fits,r',379,1479,3,,,,,
,THROUGHPUT_HORIZ_R_FEIGE92__guide_48.fits,r',373,1769,3,,,,,
1stMar/feige92/throughputTest_U,THROUGHPUT_TEST_DIAG_U_FIEGE92_6.fits,u',5965,389,2,Diagonal test U,,,,
,THROUGHPUT_TEST_DIAG_U_FIEGE92_7.fits,u',5660,677,2,,,,,
,THROUGHPUT_TEST_DIAG_U_FIEGE92_8.fits,u',5364,965,2,,,,,
,THROUGHPUT_TEST_DIAG_U_FIEGE92_9.fits,u',5059,1252,2,,,,,
,THROUGHPUT_TEST_DIAG_U_FIEGE92_10.fits,u',4772,1540,2,,,,,
,THROUGHPUT_TEST_DIAG_U_FIEGE92_11.fits,u',4475,1819,2,,,,,
,THROUGHPUT_TEST_DIAG_U_FIEGE92_12.fits,u',4188,2098,2,,,,,
,THROUGHPUT_TEST_DIAG_U_FIEGE92_13.fits,u',3900,2377,2,,,,,
,THROUGHPUT_TEST_DIAG_U_FIEGE92_14.fits,u',3612,2657,2,,,,,
,THROUGHPUT_TEST_DIAG_U_FIEGE92_15.fits,u',3325,2936,2,,,,,
,THROUGHPUT_TEST_DIAG_U_FIEGE92_16.fits,u',2944,3308,2,,,,,
,THROUGHPUT_TEST_DIAG_U_FIEGE92_17.fits,u',2656,3587,2,,,,,
,THROUGHPUT_TEST_DIAG_U_FIEGE92_18.fits,u',2369,3867,2,,,,,
,THROUGHPUT_TEST_DIAG_U_FIEGE92_19.fits,u',2081,4146,2,,,,,
,THROUGHPUT_TEST_DIAG_U_FIEGE92_20.fits,u',1793,4425,2,,,,,
,THROUGHPUT_TEST_DIAG_U_FIEGE92_21.fits,u',1506,4704,2,,,,,
,THROUGHPUT_TEST_DIAG_U_FIEGE92_22.fits,u',1218,4992,2,,,,,
,THROUGHPUT_TEST_DIAG_U_FIEGE92_23.fits,u',930,5271,2,,,,,
,THROUGHPUT_TEST_DIAG_U_FIEGE92_24.fits,u',634,5567,2,,,,,
1stMar/feige92/throughputTest_U/towardGuider,THROUGHPUT_HORIZ_U_FIEGE9230.fits,u',2910,3444,2,Horizontal test U,,,,
,THROUGHPUT_HORIZ_U_FIEGE9231.fits,u',2631,3444,2,,,,,
,THROUGHPUT_HORIZ_U_FIEGE9232.fits,u',2352,3435,2,,,,,
,THROUGHPUT_HORIZ_U_FIEGE9233.fits,u',2064,3435,2,,,,,
,THROUGHPUT_HORIZ_U_FIEGE9234.fits,u',1785,3427,2,,,,,
,THROUGHPUT_HORIZ_U_FIEGE9235.fits,u',1506,3427,2,,,,,
,THROUGHPUT_HORIZ_U_FIEGE9236.fits,u',1218,3427,2,,,,,
,THROUGHPUT_HORIZ_U_FIEGE9237.fits,u',939,3418,2,,,,,
,THROUGHPUT_HORIZ_U_FIEGE9238.fits,u',651,3418,2,,,,,
,THROUGHPUT_HORIZ_U_FIEGE9239.fits,u',372,3418,2,,,,,
,THROUGHPUT_HORIZ_U_FIEGE9240.fits,u',84,3418,2,,,,,
,THROUGHPUT_HORIZ_U_FIEGE92_guide_41.fits,u',961,149,3,,,,,
,THROUGHPUT_HORIZ_U_FIEGE92_guide_42.fits,u',668,143,3,,,,,
,THROUGHPUT_HORIZ_U_FIEGE92_guide_43.fits,u',376,146,3,,,,,
,THROUGHPUT_HORIZ_U_FIEGE92_guide_44.fits,u',373,433,3,,,,,
,THROUGHPUT_HORIZ_U_FIEGE92_guide_45.fits,u',367,720,3,,,,,
,THROUGHPUT_HORIZ_U_FIEGE92_guide_46.fits,u',359,1004,3,,,,,
,THROUGHPUT_HORIZ_U_FIEGE92_guide_47.fits,u',356,1294,3,,,,,
,THROUGHPUT_HORIZ_U_FIEGE92_guide_48.fits,u',348,1583,3,,,,,
,THROUGHPUT_HORIZ_U_FIEGE92_guide_49.fits,u',339,1873,3,,,,,
Observation date: 27th April 2018,,Calibration files: 27thApr/Cals/,,,,,,,,
